1,2,3,4,5,6
2019,a,a,b,c,c,d
2018,a,a,b,c,c,d
2017,a,a,b,c,c,d
2016,a,a,b,c,c,d
2015,a,a,b,c,d,c
2014,a,a,b,d,c,c
2013,a,a,b,d,c,c
2012,b,a,a,d,c,c
2011,b,a,a,d,c,c
2010,a,a,b,d,c,c
2009,a,a,b,d,c,c
2008,a,a,a,d,c,c
2007,a,a,b,c,d,d
2006,a,a,b,c,c,d
2005,a,a,b,c,c,d,d,n
2004,a,a,b,c,c,n,n,d
2003,a,a,b,c,c,n,n,d
2002,a,a,b,c,c,n,n,d
2001,a,a,b,c,c,n,n,d
2000,a,a,b,n,c,n,n,d
1999,b,a,a,n,c,n,n,d
1998,b,a,b,n,c,n,n,d
1997,b,a,a,n,n,n,n,d
1996,a,a,a,n,n,n,n,d
a,Vector Calculus,A list of topics on vector calculus
b,Partial Differential Equations,A list of topics on partial differential equations
c,Linear Algebra,A list of topics on linear algebra
d,Probability,A list of topics on probability
n,not on Syllabus,Questions not on syllabus.
